iter	Passed	Remaining
0	7	514
1	15	482
2	23	487
3	30	477
4	40	488
5	47	477
6	55	467
7	62	454
8	70	445
9	77	434
10	85	426
11	92	417
12	100	408
13	107	398
14	114	390
15	122	384
16	133	384
17	144	386
18	154	382
19	163	375
20	171	368
21	179	359
22	186	349
23	194	340
24	202	332
25	210	323
26	218	314
27	225	305
28	234	298
29	241	289
30	249	281
31	257	274
32	266	266
33	272	256
34	281	248
35	288	240
36	295	231
37	302	222
38	309	214
39	316	205
40	324	197
41	331	189
42	339	181
43	347	173
44	356	166
45	364	158
46	371	150
47	378	142
48	385	133
49	393	126
50	401	118
51	408	110
52	416	102
53	424	94
54	433	86
55	440	78
56	449	70
57	456	62
58	464	55
59	472	47
60	480	39
61	488	31
62	495	23
63	502	15
64	510	7
65	517	0
